SNP	baseline
rsHERC001	0.02
rsHERC002	0.020523809523809524
rsHERC003	0.021047619047619048
rsHERC004	0.02157142857142857
rsHERC005	0.022095238095238095
rsHERC006	0.02261904761904762
rsHERC007	0.023142857142857142
rsHERC008	0.02366666666666667
rsHERC009	0.024190476190476193
rsHERC010	0.024714285714285716
rsHERC011	0.02523809523809524
rsHERC012	0.025761904761904764
rsHERC013	0.026285714285714287
rsHERC014	0.02680952380952381
rsHERC015	0.027333333333333334
rsHERC016	0.027857142857142858
rsHERC017	0.02838095238095238
rsHERC018	0.028904761904761905
rsHERC019	0.02942857142857143
rsHERC020	0.029952380952380953
rsHERC021	0.030476190476190476
rsHERC022	0.031
rsHERC023	0.03152380952380952
rsHERC024	0.03204761904761905
rsHERC025	0.03257142857142857
rsHERC026	0.033095238095238094
rsHERC027	0.03361904761904762
rsHERC028	0.03414285714285714
rsHERC029	0.034666666666666665
rsHERC030	0.03519047619047619
rsHERC031	0.03571428571428571
rsHERC032	0.036238095238095236
rsHERC033	0.03676190476190476
rsHERC034	0.03728571428571428
rsHERC035	0.03780952380952381
rsHERC036	0.03833333333333333
rsHERC037	0.038857142857142854
rsHERC038	0.03938095238095238
rsHERC039	0.0399047619047619
rsHERC040	0.040428571428571425
rsHERC041	0.04095238095238095
rsHERC042	0.04147619047619048
rsHERC043	0.042
rsHERC044	0.042523809523809526
rsHERC045	0.04304761904761905
rsHERC046	0.04357142857142857
rsHERC047	0.0440952380952381
rsHERC048	0.04461904761904762
rsHERC049	0.045142857142857144
rsHERC050	0.04566666666666667
rsHERC051	0.04619047619047619
rsHERC052	0.046714285714285715
rsHERC053	0.04723809523809524
rsHERC054	0.04776190476190476
rsHERC055	0.048285714285714286
rsHERC056	0.04880952380952381
rsHERC057	0.04933333333333334
rsHERC058	0.049857142857142864
rsHERC059	0.05038095238095239
rsHERC060	0.05090476190476191
rsHERC061	0.051428571428571435
rsHERC062	0.05195238095238096
rsHERC063	0.05247619047619048
rsHERC064	0.053
